author,authorName
http://www.gra.fo/resource/58712723400,http://sdm_lab2/Lin%20L.
http://www.gra.fo/resource/58738528700,http://sdm_lab2/Bohucharskyi%20S.
http://www.gra.fo/resource/58846819000,http://sdm_lab2/Wong%20K.-F.
http://www.gra.fo/resource/58860323000,http://sdm_lab2/Bretschneider%20A.
http://www.gra.fo/resource/58860586700,http://sdm_lab2/Krummheuer%20Y.
http://www.gra.fo/resource/58876729200,http://sdm_lab2/Pastor%20M.
http://www.gra.fo/resource/58950242600,http://sdm_lab2/Rucks%20N.
http://www.gra.fo/resource/58953213400,http://sdm_lab2/Neumann%20T.
http://www.gra.fo/resource/6601910743,http://sdm_lab2/Shroff%20G.
http://www.gra.fo/resource/6602512834,http://sdm_lab2/Dinu%20L.P.
http://www.gra.fo/resource/8672125000,http://sdm_lab2/Dinu%20A.
http://www.gra.fo/resource/9737451300,http://sdm_lab2/Frontoni%20E.
http://www.gra.fo/resource/10141380000,http://sdm_lab2/Tarkoma%20S.
http://www.gra.fo/resource/10142863200,http://sdm_lab2/Snoeren%20A.C.
http://www.gra.fo/resource/12039118200,http://sdm_lab2/Smith%20J.S.
http://www.gra.fo/resource/12144232100,http://sdm_lab2/Brown%20A.D.
http://www.gra.fo/resource/12790420700,http://sdm_lab2/Mi%C5%9Bkowicz%20M.
http://www.gra.fo/resource/13607482600,http://sdm_lab2/Sarkar%20R.
http://www.gra.fo/resource/13608760900,http://sdm_lab2/Laaksonen%20L.
http://www.gra.fo/resource/13805680200,http://sdm_lab2/Gamper%20J.
http://www.gra.fo/resource/14060977700,http://sdm_lab2/Ortega%20J.L.
http://www.gra.fo/resource/14632337000,http://sdm_lab2/Pachori%20R.B.
http://www.gra.fo/resource/15048635400,http://sdm_lab2/Rosado%20D.G.
http://www.gra.fo/resource/15049831100,http://sdm_lab2/Seetharaman%20K.
http://www.gra.fo/resource/15058298400,http://sdm_lab2/VAROL%20A.
http://www.gra.fo/resource/15127487100,http://sdm_lab2/Ito%20S.
http://www.gra.fo/resource/15848147800,http://sdm_lab2/Grailu%20H.
http://www.gra.fo/resource/15922248600,http://sdm_lab2/Cenkeramaddi%20L.R.
http://www.gra.fo/resource/16040687200,http://sdm_lab2/Strobl%20B.
http://www.gra.fo/resource/16230823200,http://sdm_lab2/Mauerer%20W.
http://www.gra.fo/resource/16744366700,http://sdm_lab2/Morris%20K.B.
http://www.gra.fo/resource/16946047100,http://sdm_lab2/Facina%20G.
http://www.gra.fo/resource/17434962100,http://sdm_lab2/Oligeri%20G.
http://www.gra.fo/resource/18433968800,http://sdm_lab2/Ganzinger%20M.
http://www.gra.fo/resource/18635093800,http://sdm_lab2/Saengdeejing%20A.
http://www.gra.fo/resource/18935722800,http://sdm_lab2/Kumar%20A.
http://www.gra.fo/resource/20433948000,http://sdm_lab2/Korshunov%20P.
http://www.gra.fo/resource/22234205300,http://sdm_lab2/Groppe%20S.
http://www.gra.fo/resource/22333554700,http://sdm_lab2/Duan%20L.
